From,To,Length(m),Azimuth(deg),Clino(deg)
# Equated stations
100@downdraughtsnowslope,6@downdraught
# End equated stations
1@snow_slopes.clearwater_master,2@snow_slopes.clearwater_master,30.40,90.00,14.00
2@snow_slopes.clearwater_master,3@snow_slopes.clearwater_master,20.40,94.00,24.00
3@snow_slopes.clearwater_master,4@snow_slopes.clearwater_master,21.50,114.00,-24.00
4@snow_slopes.clearwater_master,5@snow_slopes.clearwater_master,25.00,60.00,-10.00
5@snow_slopes.clearwater_master,6@snow_slopes.clearwater_master,14.70,118.00,-10.00
6@snow_slopes.clearwater_master,7@snow_slopes.clearwater_master,21.70,62.00,5.00
7@snow_slopes.clearwater_master,8@snow_slopes.clearwater_master,29.80,122.00,10.00
8@snow_slopes.clearwater_master,9@snow_slopes.clearwater_master,11.50,95.00,19.00
9@snow_slopes.clearwater_master,10@snow_slopes.clearwater_master,27.60,177.00,14.00
10@snow_slopes.clearwater_master,11@snow_slopes.clearwater_master,19.80,157.00,0.00
11@snow_slopes.clearwater_master,12@snow_slopes.clearwater_master,30.00,74.00,-3.00
12@snow_slopes.clearwater_master,13@snow_slopes.clearwater_master,30.00,71.00,0.00
13@snow_slopes.clearwater_master,14@snow_slopes.clearwater_master,14.80,52.00,8.00
14@snow_slopes.clearwater_master,15@snow_slopes.clearwater_master,24.30,22.00,1.00
15@snow_slopes.clearwater_master,16@snow_slopes.clearwater_master,30.00,60.00,-4.00
16@snow_slopes.clearwater_master,17@snow_slopes.clearwater_master,27.00,70.00,1.00
17@snow_slopes.clearwater_master,18@snow_slopes.clearwater_master,30.50,62.00,6.00
18@snow_slopes.clearwater_master,19@snow_slopes.clearwater_master,27.30,75.00,-7.00
19@snow_slopes.clearwater_master,20@snow_slopes.clearwater_master,30.00,52.00,-2.00
20@snow_slopes.clearwater_master,21@snow_slopes.clearwater_master,30.00,85.00,1.00
21@snow_slopes.clearwater_master,22@snow_slopes.clearwater_master,13.00,67.00,0.00
22@snow_slopes.clearwater_master,23@snow_slopes.clearwater_master,13.30,133.00,3.00
23@snow_slopes.clearwater_master,24@snow_slopes.clearwater_master,30.00,56.00,-1.00
24@snow_slopes.clearwater_master,25@snow_slopes.clearwater_master,18.80,67.00,-8.00
25@snow_slopes.clearwater_master,26@snow_slopes.clearwater_master,19.60,136.00,0.00
26@snow_slopes.clearwater_master,27@snow_slopes.clearwater_master,20.20,123.00,19.00
27@snow_slopes.clearwater_master,28@snow_slopes.clearwater_master,30.00,76.00,-12.00
28@snow_slopes.clearwater_master,29@snow_slopes.clearwater_master,27.60,86.00,13.00
29@snow_slopes.clearwater_master,30@snow_slopes.clearwater_master,30.00,148.00,-2.00
30@snow_slopes.clearwater_master,31@snow_slopes.clearwater_master,21.50,107.00,11.00
31@snow_slopes.clearwater_master,32@snow_slopes.clearwater_master,10.80,81.00,30.00
32@snow_slopes.clearwater_master,33@snow_slopes.clearwater_master,16.80,107.00,-2.00
30@snow_slopes.clearwater_master,35@snow_slopes.clearwater_master,11.00,253.00,-20.00
35@snow_slopes.clearwater_master,36@snow_slopes.clearwater_master,27.00,223.00,-22.00
36@snow_slopes.clearwater_master,37@snow_slopes.clearwater_master,27.60,180.00,4.00
37@snow_slopes.clearwater_master,38@snow_slopes.clearwater_master,5.10,160.00,22.00
38@snow_slopes.clearwater_master,39@snow_slopes.clearwater_master,31.00,92.00,-41.00
39@snow_slopes.clearwater_master,40@snow_slopes.clearwater_master,22.60,78.00,32.00
40@snow_slopes.clearwater_master,41@snow_slopes.clearwater_master,17.80,49.00,33.00
41@snow_slopes.clearwater_master,42@snow_slopes.clearwater_master,13.00,20.00,-8.00
42@snow_slopes.clearwater_master,43@snow_slopes.clearwater_master,26.60,7.00,-26.00
43@snow_slopes.clearwater_master,44@snow_slopes.clearwater_master,15.80,346.00,20.00
44@snow_slopes.clearwater_master,45@snow_slopes.clearwater_master,10.50,12.00,38.00
40@snow_slopes.clearwater_master,46@snow_slopes.clearwater_master,16.80,176.00,-33.00
46@snow_slopes.clearwater_master,47@snow_slopes.clearwater_master,18.60,141.00,21.00
47@snow_slopes.clearwater_master,48@snow_slopes.clearwater_master,15.00,88.00,24.00
46@snow_slopes.clearwater_master,49@snow_slopes.clearwater_master,11.50,220.00,-6.00
49@snow_slopes.clearwater_master,50@snow_slopes.clearwater_master,29.50,185.00,3.00
50@snow_slopes.clearwater_master,51@snow_slopes.clearwater_master,26.60,187.00,3.00
51@snow_slopes.clearwater_master,52@snow_slopes.clearwater_master,10.00,187.00,0.00
15@snow_slopes.clearwater_master,x@snow_slopes.clearwater_master,10.00,0.00,90.00
334@armistice_north.clearwater_master,333@armistice_north.clearwater_master,27.80,247.00,34.00
333@armistice_north.clearwater_master,332@armistice_north.clearwater_master,25.10,205.00,2.00
332@armistice_north.clearwater_master,331@armistice_north.clearwater_master,17.20,104.00,6.00
331@armistice_north.clearwater_master,330@armistice_north.clearwater_master,23.80,59.00,3.00
330@armistice_north.clearwater_master,329@armistice_north.clearwater_master,7.20,105.00,4.00
329@armistice_north.clearwater_master,328@armistice_north.clearwater_master,6.30,128.00,1.00
328@armistice_north.clearwater_master,327@armistice_north.clearwater_master,37.00,177.00,1.00
327@armistice_north.clearwater_master,326@armistice_north.clearwater_master,27.10,95.00,-2.00
326@armistice_north.clearwater_master,325@armistice_north.clearwater_master,8.80,48.00,0.00
325@armistice_north.clearwater_master,324@armistice_north.clearwater_master,23.40,76.00,5.00
324@armistice_north.clearwater_master,323@armistice_north.clearwater_master,21.40,156.00,8.00
323@armistice_north.clearwater_master,322@armistice_north.clearwater_master,19.50,100.00,30.00
322@armistice_north.clearwater_master,321@armistice_north.clearwater_master,13.80,137.00,-4.00
321@armistice_north.clearwater_master,320@armistice_north.clearwater_master,60.00,29.00,10.00
320@armistice_north.clearwater_master,319@armistice_north.clearwater_master,34.10,10.00,0.00
319@armistice_north.clearwater_master,318@armistice_north.clearwater_master,51.10,352.00,13.00
318@armistice_north.clearwater_master,317@armistice_north.clearwater_master,36.20,19.00,-10.00
317@armistice_north.clearwater_master,316@armistice_north.clearwater_master,54.00,15.00,-2.00
316@armistice_north.clearwater_master,315@armistice_north.clearwater_master,49.30,7.00,2.00
315@armistice_north.clearwater_master,314@armistice_north.clearwater_master,46.00,335.00,3.00
314@armistice_north.clearwater_master,313@armistice_north.clearwater_master,20.20,22.00,4.00
313@armistice_north.clearwater_master,312@armistice_north.clearwater_master,44.50,21.00,-10.00
312@armistice_north.clearwater_master,311@armistice_north.clearwater_master,33.50,55.00,3.00
311@armistice_north.clearwater_master,310@armistice_north.clearwater_master,37.40,32.00,14.00
310@armistice_north.clearwater_master,309@armistice_north.clearwater_master,22.50,350.00,-8.00
309@armistice_north.clearwater_master,308@armistice_north.clearwater_master,54.30,20.00,-3.00
308@armistice_north.clearwater_master,307@armistice_north.clearwater_master,60.00,0.00,0.00
307@armistice_north.clearwater_master,306@armistice_north.clearwater_master,30.30,125.00,22.00
306@armistice_north.clearwater_master,305@armistice_north.clearwater_master,19.00,60.00,24.00
305@armistice_north.clearwater_master,304@armistice_north.clearwater_master,11.30,53.00,27.00
304@armistice_north.clearwater_master,303@armistice_north.clearwater_master,30.70,75.00,28.00
303@armistice_north.clearwater_master,302@armistice_north.clearwater_master,17.30,145.00,31.00
302@armistice_north.clearwater_master,301@armistice_north.clearwater_master,10.10,190.00,5.00
329@armistice_north.clearwater_master,206@armistice_north.clearwater_master,16.60,10.50,30.00
206@armistice_north.clearwater_master,205@armistice_north.clearwater_master,22.60,7.00,10.00
205@armistice_north.clearwater_master,204@armistice_north.clearwater_master,9.90,35.00,-39.00
204@armistice_north.clearwater_master,203@armistice_north.clearwater_master,13.30,59.00,29.00
203@armistice_north.clearwater_master,202@armistice_north.clearwater_master,10.70,18.00,1.00
202@armistice_north.clearwater_master,201@armistice_north.clearwater_master,17.10,5.00,1.00
307@armistice_north.clearwater_master,106@armistice_north.clearwater_master,19.60,22.00,-6.00
